Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
140,Social Study,,Mrida Pradushan,"Shiv Gopal Mishra,Dinesh Mani ",Gyan Ganga,,,Satisfactory,8428,4
141,Social Study,9,Prayogik Samajik Vigyan pustika ,B.P prakashan,,,Rs50,Satisfactory,8428,4
142,Social Study,,Bhartiya aur Vishva,,,,,Satisfactory,8428,4
143,Social Study,,Geographic Quiz  Books,Sachin Singhal,Ocean Books Pvt Ltd,,,Satisfactory,8428,4
144,Social Study,,Prayogik Samajik Vigyan pustika ,Dr Ray Narayan Verma ,Spardha,,Rs100,Satisfactory,8428,4
145,Social Study,9,geeography (Contemporary India),,Abha Publication,,Rs70,Satisfactory,8428,4
146,Social Study,9,Political Science ,,Abha Publication,,Rs70,Satisfactory,8428,4
147,Social Study,9,History(India and comtemporary World),,Abha Publication,,Rs120,Satisfactory,8428,4
148,Social Study,9,Economics,,Abha Publication,,Rs55,Satisfactory,8428,4
149,Social Study,9,Xam Idea,Sunita Saini,Vk Gopal,,RS140,Satisfactory,8428,4
150,Social Study,8,New learnwell Social science,Kiranpal Kaur,Holyfaith International(p) ltd,,Rs360,Satisfactory,8428,4
151,Social Study,8,Composite Social Science ,"B.b Tayal ,D.S Prakash",Arya Publication,2008,Rs160,Satisfactory,8428,4
152,Social Study,8,Integrated Social Science ,Rk jain ,Ratna Sagar,Cce,Rs449.90,Satisfactory,8428,4
153,Social Study,3,Our World then and Now ,"S.Mukherji,Kk maltier",Bharti Bhawan ,2007,RS120,Needs Improvement,8428,4
154,Social Study,8,Srijan Social Science ,"Padmini sriraman,Prerna Pasricha",srijan Publisher( p) ltd,,Rs399,Satisfactory,9124,3
155,Social Study,8,Our World then and Now ,"S.Mukherji,Kk maltier",Bharti Bhawan ,2016,Rs 320,Satisfactory,9124,3
156,Social Study,7,Our World (Icse)A book of geography,Prita chakraborty,Frank,2017,Rs286,Satisfactory,9124,3
157,Social Study,7,The Trdil,Jayanti Sengupta,Oxford,2005,Rs135,Needs Improvement,9124,3
158,Social Study,7,Longman Geography,Anuradha Mukherjee,Longman,2012,Rs194,Satisfactory,9124,3
159,Social Study,9,Indian History Civics(Icse),"B.B Tayal ,Mrs Jacob",Avoichal,2006,RS140,Satisfactory,9124,3
160,Social Study,5,Trek ,"Vibha Roy ,Reena Jain",Oxford,2016,Rs241,Needs Improvement,9124,3
161,Social Study,,Dreamlands Atlas of India,Ved Prakash,Dreamland,,Rs140,Good,9124,3
162,Social Study,9,Map(Practise Book),Subhash Mehra,Kinderstone,Cce,Rs160,Good,9124,3
163,Social Study,1,Social Science,Geeta Malhotra ,oscar,Cce,Rs120,Good,9124,3
164,Social Study,1,Harmony ,shradha Anand,Fk Publication,2012,Rs125,Good,9124,3
165,Social Study,1,Learning Edge SSt,Chhair Goyal,Eduline Publication,2017,RS240,Good,9124,3
166,Social Study,3,Harmony ,shradha Anand,Future Kid,2012,Rs140,Good,9124,3
167,Social Study,1,An Informative Social Study,Augustine Manoor  ,Pacific ,2015,Rs125,Good,9124,3
168,Social Study,2,Trek ,Vaishali Gupta,Oxford,2013,Rs132,Needs Improvement,9124,3
169,Social Study,4,An Informative Social Study,Augustine Manoor  ,Pacific ,2016,Rs140,Good,9124,3
170,Social Study,3,Learning Edge Sst,Chhair Goyal,Eduline Publication,2017,RS310,Good,9124,3
171,Social Study,2,Learning Edge Sst,Chhair Goyal,Eduline Publication,2017,Rs280,Good,9124,3
172,Social Study,3,An Informative Social Study,Augustine Manoor  ,Pacific ,2012,,Good,9124,3
