Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
2576,Hindi,5,लक्ष्य हिंदी पाठमाला,उषा छाबड़ा,सैफायर पब्लिशर्स,2011,208,good,1234,2
2577,Hindi,5,लक्ष्य हिंदी पाठमाला,उषा छाबड़ा,सैफायर पब्लिशर्स,2011,285,good,1234,2
2578,Hindi,5,लक्ष्य हिंदी पाठमाला,उषा छाबड़ा,सैफायर पब्लिशर्स,,100,good,1234,2
2579,Hindi,2,मेघा,शैल ठाकुर मीना श्रीवास्तव,कृति प्रकाशन,2012,285,good,1234,2
2580,Hindi,5,मेघा,शैल ठाकुर मीना श्रीवास्तव,कृति प्रकाशन,2012,,good,1234,2
2581,Hindi,5,मेघा,शैल ठाकुर मीना श्रीवास्तव,कृति प्रकाशन,2009,210,good,1234,2
2582,Hindi,5,मेघा,मीना श्रीवास्तव कुमकुम चतुर्वेदी,कृति प्रकाशन,2010,115,good,1234,2
2583,Hindi,2,वसुंधरा,डॉक्टर वृंदा शर्मा कौमुदी अग्रवाल,तरुण पब्लिकेशंस,,200,good,1234,2
2584,Hindi,1,वसुंधरा,डॉक्टर वृंदा शर्मा कौमुदी अग्रवाल,तरुण पब्लिकेशन,,125,good,1234,2
2585,Hindi,4,ताना-बाना,नव नवनीत सिंगल मनीष अग्रवाल,राइजिंग सन,2014,135,good,8330,2
2586,Hindi,2,अमृत हिंदी पाठमाला,,एमिटी यूनिवर्सिटी,2013,95,good,8330,2
2587,Hindi,1,कल्पथारू,डॉक्टर आरके दबास डॉक्टर माधुरी,सरस्वती हाउस प्राइवेट लिमिटेड,,160,good,8330,2
2588,Hindi,1,नन्ही किलकारियां,रीमा सहाय,आयुर पब्लिकेशन,,64.9,good,8330,2
2589,Hindi,1,सारिका हिंदी पाठमाला,डॉ साधना आडवाणी,न्यू सरस्वती हाउस,2016,170,good,8330,2
2590,Hindi,,बाल गीत,नीतू वर्मा,ब्लूप्रिंट एजुकेशन,2016,75.8,good,8330,2
2591,Hindi,1,अविरल,लक्ष्मी जैन,वी वा,2013,185,good,8330,2
2592,Hindi,1,भारतीय हिंदी पाठमाला,डॉ भारती पांडे,कॉर्डोवा पब्लिकेशंस,,205,good,8330,2
2593,Hindi,1,लक्ष्य हिंदी पाठमाला,उषा छाबड़ा,सफायर पब्लिकेश,2011,235,good,8330,2
2594,Hindi,1,लक्ष्य,उषा छाबड़ा,सफायर पब्लिकेशंस,,175,good,8330,2
2595,Hindi,1,ज्ञान सरोवर,डॉ राजेश धूल,आर्य बुक डिपो,2016,130,good,8330,2
2596,Hindi,1,अनू गूंज,इंदिरा वेद,ईदु लाइन,2017,210,good,8330,2
2597,Hindi,1,ज्ञानोदय,डॉ हेमंत कुकरेती,फ्यूचर किड्स,2016,190,good,8330,2
2598,Hindi,1,आओ गीत गुनगुनाए,,किड्स वर्ल्ड,,75,good,8330,2
2599,Hindi,4,पल्लव,डॉक्टर राम सुधार सिंह,अमृता प्रकाशन,2013,165,good,8330,2
2600,Hindi,4,सुलेखन,नीलम शर्मा,सुरभि बुक्स,2017,125,good,8330,2
2601,Hindi,4,सुलेख सरिता,वीणा आहूजा,सोन का,,95,good,8330,2
2602,Hindi,4,मानक हिंदी व्याकरण,डॉ रमेश धूल,आर्य बुक डिपो,2015,155,good,8330,2
2603,Hindi,4,आधार,रेवा ग्रोवर,इंस्पिरेशन पब्लिकेशन,,109,good,8330,2
2604,Hindi,4,भाषा उत्थान,राजेश कुमार,हेल्पलाइन,,229.9,good,8330,2
2605,Hindi,2,संगिनी,आरपी श्रीवास्तव,फ्रैंक एजुकेशनल ऐड्स,2015,192,good,8330,2
2606,Hindi,7,भाषा अधिगम एवं व्याकरण,डॉक्टर देवेंद्र कुमार शर्मा,प्राची,2020,330,good,,
2607,Hindi,8,भाषा अधिगम एवं व्याकरण,डॉक्टर देवेंद्र कुमार शर्मा,प्राची,2020,350,good,,
2608,Hindi,1,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,159,good,,
2609,Hindi,2,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,169,good,,
2610,Hindi,3,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,219,good,,
2611,Hindi,4,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,269,good,,
2612,Hindi,5,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,329,good,,
2613,Hindi,6,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,299,good,,
2614,Hindi,7,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,299,good,,
2615,Hindi,8,प्रखर हिंदी व्याकरण,मनीषा शर्मा,सृजन,,329,good,,
2616,Hindi,pre- primary,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,200,good,,
2617,Hindi,1,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,220,good,,
2618,Hindi,2,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,240,good,,
2619,Hindi,3,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,260,good,,
2620,Hindi,4,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,280,good,,
2621,Hindi,5,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,290,good,,
2622,Hindi,6,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,320,good,,
2623,Hindi,7,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,340,good,,
2624,Hindi,8,सारांश,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची,,350,good,,
2625,Hindi,1,कनक हिंदी पाठमाला,वंदना चड्ढा,सृजन,2019,229,good,,
2626,Hindi,2,कनक हिंदी पाठमाला,वंदना चड्डा,सृजन,2018,239,good,,
2627,Hindi,1,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,180,good,,
2628,Hindi,2,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,180,good,,
2629,Hindi,3,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,180,good,,
2630,Hindi,4,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,180,good,,
2631,Hindi,5,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,180,good,,
2632,Hindi,6,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,185,good,,
2633,Hindi,7,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,185,good,,
2634,Hindi,8,नूतन गुंजन,संयुक्ता रुद्रा,मधुबनी,,185,good,,
2635,Hindi,1,नन्हीं किलकारियां,रीमा सहाय,एरो पब्लिकेशन,,79.9,good,,
2636,Hindi,2,नन्हीं किलकारियां,रीमा सहाय,एरो पब्लिकेशन,,79.9,good,,
2637,Hindi,6,व्याकरण संवाद,मीनाक्षी अग्रवाल,ऑक्सफोर्ड स्कूल एजुकेशन,2018,405,good,,
2638,Hindi,7,व्याकरण संवाद,मीनाक्षी अग्रवाल,ऑक्सफोर्ड स्कूल एजुकेशन,2018,425,good,,
2639,Hindi,8,व्याकरण संवाद,मीनाक्षी अग्रवाल,ऑक्सफोर्ड स्कूल एजुकेशन,2018,460,good,,
2640,Hindi,3,नवदीप सुलेख माला,मीनाक्षी अग्रवाल,नवदीप पब्लिकेशन,,140,good,,
